"conflict_id","dyad_id","org","side_a_name","side_a_name_fulltext","side_a_name_mothertongue","side_a_id","side_a_components","side_a_2nd","gwno_a_2nd","side_b_name","side_b_name_fulltext","side_b_name_mothertongue","side_b_id","side_b_components","side_b_2nd","gwno_b_2nd","start_date","start_prec","start_date2","start_prec2","ep_end","ep_end_date","ep_end_prec","year","best_fatality_estimate","low_fatality_estimate","high_fatality_estimate","location","gwno_location","region","version"
"4663","5273","1","LTTE","Liberation Tigers of Tamil Eelam","Thamil Eelam Viduthalai Puligal","320","","","","LTTE - K","Liberation Tigers of Tamil Eelam - Karuna faction","Thamil Eelam Viduthalai Puligal - Karuna faction","389","","","","2004-03-30","1","2004-05-21","1","0","","","2005","30","30","58","Sri Lanka","780","3","22.1"
"4663","5273","1","LTTE","Liberation Tigers of Tamil Eelam","Thamil Eelam Viduthalai Puligal","320","","","","LTTE - K","Liberation Tigers of Tamil Eelam - Karuna faction","Thamil Eelam Viduthalai Puligal - Karuna faction","389","","","","2004-03-30","1","2004-05-21","1","1","2006-12-30","1","2006","97","97","136","Sri Lanka","780","3","22.1"
"4664","5274","3","Lumad","Lumad","Lumad","390","","","","Moro","Moro","Moro","391","","","","2006-06-22","1","2006-06-30","3","1","2006-06-30","3","2006","25","25","25","Philippines","840","3","22.1"
"4665","5275","3","Kikuyu","Kikuyu","Kikuyu","926","","","","Luo","Luo","Luo","901","","","","2007-12-31","1","2008-01-28","1","1","2008-02-18","1","2008","42","42","82","Kenya","501","4","22.1"
"4666","5276","3","Ma'aliyah","Ma'aliyah","Ma'aliyah","641","","","","Rizeigat Baggara","Rizeigat Baggara","Rizeigat Baggara","703","","","","2002-05-25","2","2002-05-25","2","1","2002-05-25","2","2002","53","27","53","Sudan","625","4","22.1"
"4666","5276","3","Ma'aliyah","Ma'aliyah","Ma'aliyah","641","","","","Rizeigat Baggara","Rizeigat Baggara","Rizeigat Baggara","703","","","","2002-05-25","2","2004-12-31","5","1","2004-12-31","5","2004","69","69","69","Sudan","625","4","22.1"
"4666","5276","3","Ma'aliyah","Ma'aliyah","Ma'aliyah","641","","","","Rizeigat Baggara","Rizeigat Baggara","Rizeigat Baggara","703","","","","2002-05-25","2","2013-08-11","2","0","","","2013","229","229","248","Sudan","625","4","22.1"
"4666","5276","3","Ma'aliyah","Ma'aliyah","Ma'aliyah","641","","","","Rizeigat Baggara","Rizeigat Baggara","Rizeigat Baggara","703","","","","2002-05-25","2","2013-08-11","2","0","","","2014","395","346","495","Sudan","625","4","22.1"
"4666","5276","3","Ma'aliyah","Ma'aliyah","Ma'aliyah","641","","","","Rizeigat Baggara","Rizeigat Baggara","Rizeigat Baggara","703","","","","2002-05-25","2","2013-08-11","2","0","","","2015","252","171","252","Sudan","625","4","22.1"
"4666","5276","3","Ma'aliyah","Ma'aliyah","Ma'aliyah","641","","","","Rizeigat Baggara","Rizeigat Baggara","Rizeigat Baggara","703","","","","2002-05-25","2","2013-08-11","2","0","","","2016","27","27","27","Sudan","625","4","22.1"
