"conflict_id","dyad_id","org","side_a_name","side_a_name_fulltext","side_a_name_mothertongue","side_a_id","side_a_components","side_a_2nd","gwno_a_2nd","side_b_name","side_b_name_fulltext","side_b_name_mothertongue","side_b_id","side_b_components","side_b_2nd","gwno_b_2nd","start_date","start_prec","start_date2","start_prec2","ep_end","ep_end_date","ep_end_prec","year","best_fatality_estimate","low_fatality_estimate","high_fatality_estimate","location","gwno_location","region","version"
"9488","10098","3","Fulani","Fulani","Fulani","607","","","","Yoruba","Yoruba","Yoruba","701","","","","1998-01-18","2","2021-06-05","1","0","","0","2021","41","41","81","Nigeria","475","4","22.1"
"9637","10247","3","Konianke","Konianke","Konianke","1713","","","","Kpelle","Kpelle","Kpelle","1141","","","","2013-07-15","1","2013-07-17","2","1","2013-07-17","2","2013","98","98","98","Guinea","438","4","22.1"
"9668","10278","3","Arab","Arab","Arab","1012","","","","Masalit","Masalit","Masalit","993","","","","2020-07-19","1","2021-01-17","2","0","","0","2021","412","412","463","Sudan","625","4","22.1"
"9691","10301","3","Northern Sudanese","Northern Sudanese","Northern Sudanese","1972","","","","Southern Sudanese","Southern Sudanese","Southern Sudanese","1973","","","","2005-08-03","2","2005-08-03","2","1","2005-08-03","2","2005","130","130","130","Sudan","625","4","22.1"
"9708","10318","3","Habaniya","Habaniya","Habaniya","615","","","","Salamat Baggara","Salamat Baggara","Salamat Baggara","994","","","","2007-01-08","1","2017-05-10","3","1","2017-05-10","3","2017","41","41","41","Sudan","625","4","22.1"
"9940","10550","3","Bete","Bete","Bété","1296","","","","Senufo","Senufo","Senufo","1111","","","","2002-12-31","5","2004-12-23","1","1","2004-12-23","1","2004","25","24","29","Ivory Coast","437","4","22.1"
"10066","10676","1","Hizb-i Wahdat","Unity Party","Hizb-i Wahdat","300","","","","Junbish-i Milli-yi Islami","National Islamic Movement","Junbish-i Milli-yi Islami","302","","","","1995-02-20","2","1998-03-15","2","1","1998-03-19","1","1998","101","101","101","Afghanistan","700","3","22.1"
"10072","10682","1","Forces of Sayed Mansur Naderi","Forces of Sayed Mansur Naderi","Forces of Sayed Mansur Naderi","2518","","","","Hizb-i Islami-yi Afghanistan","Islamic Party of Afghanistan","Hizb-i Islami-yi Afghanistan","299","","","","1995-09-30","3","1995-10-29","1","1","1995-10-29","1","1995","40","40","40","Afghanistan","700","3","22.1"
"10289","10899","1","NSCN-K","National Socialist Council of Nagaland- Khaplang faction","n/a","224","","","","NSCN-K-K","National Socialist Council of Nagaland-Khole-Kitovi Faction","n/a","2430","","","","2011-12-22","1","2012-06-19","1","1","2012-12-17","1","2012","54","52","54","India","750","3","22.1"
"10310","10920","3","Han Chinese","Han Chinese","Han Chinese","2460","","","","Uighur","Uighur","Uighur","2461","","","","2009-06-26","1","2009-07-07","2","1","2009-07-07","2","2009","187","187","683","China","710","3","22.1"
"10444","11054","3","Buddhists (Myanmar)","Buddhists (Myanmar)","Buddhists (Myanmar)","2698","","","","Muslims (Myanmar)","Muslims (Myanmar)","Muslims (Myanmar)","2699","","","","2001-02-16","3","2001-02-28","3","1","2001-05-23","2","2001","37","22","40","Myanmar (Burma)","775","3","22.1"
"10444","11054","3","Buddhists (Myanmar)","Buddhists (Myanmar)","Buddhists (Myanmar)","2698","","","","Muslims (Myanmar)","Muslims (Myanmar)","Muslims (Myanmar)","2699","","","","2001-02-16","3","2012-06-13","2","0","","","2012","134","124","160","Myanmar (Burma)","775","3","22.1"
"10444","11054","3","Buddhists (Myanmar)","Buddhists (Myanmar)","Buddhists (Myanmar)","2698","","","","Muslims (Myanmar)","Muslims (Myanmar)","Muslims (Myanmar)","2699","","","","2001-02-16","3","2012-06-13","2","1","2013-09-30","1","2013","50","50","101","Myanmar (Burma)","775","3","22.1"
"10513","11123","2","Supporters of Awami League","Supporters of Awami League","n/a","372","","","","Supporters of Jamaat-e-Islami","Supporters of Jamaat-e-Islami","Supporters of Jamaat-e-Islami","2765","","","","1990-06-24","1","2013-12-13","1","1","2013-12-17","1","2013","31","24","33","Bangladesh","771","3","22.1"
"10620","11230","3","Mohajir","Mohajir","Mohajir","2848","","","","Pashtun","Pashtun","Pashtun","2847","","","","1989-03-14","2","1989-03-18","1","1","1989-08-20","1","1989","47","45","47","Pakistan","770","3","22.1"
"10621","11231","3","Mohajir","Mohajir","Mohajir","2848","","","","Sindhi","Sindhi","Sindhi","2849","","","","1989-01-25","1","1989-04-19","1","0","","","1989","67","67","67","Pakistan","770","3","22.1"
"10621","11231","3","Mohajir","Mohajir","Mohajir","2848","","","","Sindhi","Sindhi","Sindhi","2849","","","","1989-01-25","1","1989-04-19","1","1","1990-07-15","1","1990","252","252","252","Pakistan","770","3","22.1"
"10631","11241","3","Jatoi","Jatoi","Jatoi","2864","","","","Meher","Meher","Meher","2863","","","","1990-06-27","2","1990-06-27","2","1","1990-06-27","2","1990","28","28","28","Pakistan","770","3","22.1"
"10676","11286","3","Assamese","Assamese","Assamese","2922","","","","Bodo","Bodo","Bodo","814","","","","1989-08-12","2","1989-08-12","2","1","1989-08-16","1","1989","121","121","152","India","750","3","22.1"
"10691","11301","2","Supporters of MQM","Supporters of United National Movement","Supporters of Muttahida Qaumi Mahaz","2941","","","","Supporters of PPP","Supporters of Pakistan Peoples Party","Supporters of Pakistan Peoples Party","2930","","","","1990-02-14","1","1990-04-14","1","1","1990-04-14","1","1990","26","26","26","Pakistan","770","3","22.1"
"10698","11308","3","Khadadkhel","Khadadkhel","Khadadkhel","2952","","","","Oatizai","Oatizai","Oatizai","2951","","","","1992-09-18","2","1992-09-18","2","1","1992-09-18","2","1992","50","50","50","Pakistan","770","3","22.1"
"10699","11309","2","Supporters of Yousaf Ali Khan Magsi","Supporters of Yousaf Ali Khan Magsi","Supporters of Yousaf Ali Khan Magsi","2953","","","","Supporters of Zulfikar Ali Khan Magsi","Supporters of Zulfikar Ali Khan Magsi","Supporters of Zulfikar Ali Khan Magsi","2954","","","","1992-09-26","1","1993-08-30","1","1","1993-10-21","1","1993","33","33","33","Pakistan","770","3","22.1"
"10732","11342","1","Lashkar of Mohmand tribe","Lashkar of Mohmand tribe","Lashkar of Mohmand tribe","2987","","","","TTP","Taleban Movement of Pakistan","Tehrik-i-Taliban Pakistan","356","","","","2009-07-04","1","2009-07-14","1","1","2009-11-15","1","2009","53","53","53","Pakistan","770","3","22.1"
"10773","11383","1","Lashkar-e-Islam","Army of Islam","Lashkar-e-Islam","399","","","","Tawheed ul-Islam","Tawheed ul-Islam","Tawheed ul-Islam","1178","","","","2012-03-02","1","2012-10-02","1","1","2012-11-20","1","2012","39","39","43","Pakistan","770","3","22.1"
"10780","11390","3","Bangladeshi Immigrants","Bangladeshi Immigrants","Bangladeshi Immigrants","3057","","","","Bodo","Bodo","Bodo","814","","","","2012-07-20","1","2012-07-24","2","1","2012-11-12","1","2012","73","72","73","India","750","3","22.1"
"10823","11433","1","Black Axe","Black Axe","Black Axe","3107","","","","Eyie","Eyie","Eyie","3108","","","","2002-02-15","2","2011-05-25","2","1","2011-10-27","1","2011","33","33","33","Nigeria","475","4","22.1"
"10823","11433","1","Black Axe","Black Axe","Black Axe","3107","","","","Eyie","Eyie","Eyie","3108","","","","2002-02-15","2","2013-06-17","2","0","","","2013","39","39","39","Nigeria","475","4","22.1"
"10823","11433","1","Black Axe","Black Axe","Black Axe","3107","","","","Eyie","Eyie","Eyie","3108","","","","2002-02-15","2","2013-06-17","2","0","","","2014","64","64","64","Nigeria","475","4","22.1"
"10823","11433","1","Black Axe","Black Axe","Black Axe","3107","","","","Eyie","Eyie","Eyie","3108","","","","2002-02-15","2","2013-06-17","2","0","","","2015","43","43","43","Nigeria","475","4","22.1"
"10823","11433","1","Black Axe","Black Axe","Black Axe","3107","","","","Eyie","Eyie","Eyie","3108","","","","2002-02-15","2","2013-06-17","2","0","","","2016","59","59","60","Nigeria","475","4","22.1"
"10823","11433","1","Black Axe","Black Axe","Black Axe","3107","","","","Eyie","Eyie","Eyie","3108","","","","2002-02-15","2","2013-06-17","2","1","2017-12-24","1","2017","33","26","33","Nigeria","475","4","22.1"
"10823","11433","1","Black Axe","Black Axe","Black Axe","3107","","","","Eyie","Eyie","Eyie","3108","","","","2002-02-15","2","2019-02-16","5","0","","","2019","112","112","124","Nigeria","475","4","22.1"
"10823","11433","1","Black Axe","Black Axe","Black Axe","3107","","","","Eyie","Eyie","Eyie","3108","","","","2002-02-15","2","2019-02-16","5","0","","","2020","50","50","51","Nigeria","475","4","22.1"
"10823","11433","1","Black Axe","Black Axe","Black Axe","3107","","","","Eyie","Eyie","Eyie","3108","","","","2002-02-15","2","2019-02-16","5","0","","0","2021","38","30","38","Nigeria","475","4","22.1"
"10831","11441","1","Black Axe","Black Axe","Black Axe","3107","","","","Maphite","Maphite","Maphite","3116","","","","2007-03-02","2","2015-09-21","3","1","2015-09-21","3","2015","25","25","27","Nigeria","475","4","22.1"
"10938","11548","1","Khatumo administration","Khatumo administration","Maamul Goboleedka Khaatumo ee Soomaaliya","3211","","","","Republic of Somaliland","Republic of Somaliland","Jamhuuriyadda Soomaaliland","675","","","","2012-01-15","1","2012-01-26","1","1","2012-11-28","1","2012","158","158","170","Somalia","520","4","22.1"
"10948","11558","3","Akul","Akul","Akul","3228","","","","Kambrip","Kambrip","Kambrip","3229","","","","2012-06-14","3","2012-11-29","5","1","2012-11-29","5","2012","57","57","57","Papua New Guinea","910","3","22.1"
"11052","11662","1","Jalisco Cartel New Generation","Jalisco Cartel New Generation","Cártel de Jalisco Nueva Generación","1151","","","","Los Caballeros Templarios","The Knights Templar","Los Caballeros Templarios","1150","","","","2012-02-16","1","2012-07-15","1","0","","","2012","68","64","80","Mexico","70","5","22.1"
"11052","11662","1","Jalisco Cartel New Generation","Jalisco Cartel New Generation","Cártel de Jalisco Nueva Generación","1151","","","","Los Caballeros Templarios","The Knights Templar","Los Caballeros Templarios","1150","","","","2012-02-16","1","2012-07-15","1","0","","","2013","129","129","145","Mexico","70","5","22.1"
"11052","11662","1","Jalisco Cartel New Generation","Jalisco Cartel New Generation","Cártel de Jalisco Nueva Generación","1151","","","","Los Caballeros Templarios","The Knights Templar","Los Caballeros Templarios","1150","","","","2012-02-16","1","2012-07-15","1","1","2014-12-31","5","2014","184","184","216","Mexico","70","5","22.1"
"11053","11663","1","Beltrán Leyva Cartel","Beltrán Leyva Cartel","Cártel de los Beltrán Leyva","1089","","","","Sinaloa Cartel","Sinaloa Cartel","Cártel de Sinaloa","775","","","","2008-01-19","1","2008-04-30","3","1","2008-12-31","5","2008","192","192","192","Mexico","70","5","22.1"
"11053","11663","1","Beltrán Leyva Cartel","Beltrán Leyva Cartel","Cártel de los Beltrán Leyva","1089","","","","Sinaloa Cartel","Sinaloa Cartel","Cártel de Sinaloa","775","","","","2008-01-19","1","2010-07-01","1","1","2010-10-27","1","2010","48","48","56","Mexico","70","5","22.1"
"11053","11663","1","Beltrán Leyva Cartel","Beltrán Leyva Cartel","Cártel de los Beltrán Leyva","1089","","","","Sinaloa Cartel","Sinaloa Cartel","Cártel de Sinaloa","775","","","","2008-01-19","1","2014-08-01","2","0","","","2014","48","48","101","Mexico","70","5","22.1"
"11053","11663","1","Beltrán Leyva Cartel","Beltrán Leyva Cartel","Cártel de los Beltrán Leyva","1089","","","","Sinaloa Cartel","Sinaloa Cartel","Cártel de Sinaloa","775","","","","2008-01-19","1","2014-08-01","2","0","","","2015","32","32","247","Mexico","70","5","22.1"
"11053","11663","1","Beltrán Leyva Cartel","Beltrán Leyva Cartel","Cártel de los Beltrán Leyva","1089","","","","Sinaloa Cartel","Sinaloa Cartel","Cártel de Sinaloa","775","","","","2008-01-19","1","2014-08-01","2","1","2016-12-31","5","2016","68","68","961","Mexico","70","5","22.1"
"11053","11663","1","Beltrán Leyva Cartel","Beltrán Leyva Cartel","Cártel de los Beltrán Leyva","1089","","","","Sinaloa Cartel","Sinaloa Cartel","Cártel de Sinaloa","775","","","","2008-01-19","1","2018-12-31","5","0","","","2018","169","169","482","Mexico","70","5","22.1"
"11053","11663","1","Beltrán Leyva Cartel","Beltrán Leyva Cartel","Cártel de los Beltrán Leyva","1089","","","","Sinaloa Cartel","Sinaloa Cartel","Cártel de Sinaloa","775","","","","2008-01-19","1","2018-12-31","5","1","2019-12-29","2","2019","156","125","158","Mexico","70","5","22.1"
"11055","11665","1","Los Zetas - Cártel del Noreste faction","Los Zetas - Cártel del Noreste faction","Los Zetas - Cártel del Noreste faction","3296","","","","Los Zetas - Old School Zetas faction","Los Zetas - Old School Zetas faction","Los Zetas - Zetas Vieja Escuela faction","3297","","","","2016-02-28","2","2016-07-09","1","1","2016-09-28","1","2016","43","43","43","Mexico","70","5","22.1"
"11055","11665","1","Los Zetas - Cártel del Noreste faction","Los Zetas - Cártel del Noreste faction","Los Zetas - Cártel del Noreste faction","3296","","","","Los Zetas - Old School Zetas faction","Los Zetas - Old School Zetas faction","Los Zetas - Zetas Vieja Escuela faction","3297","","","","2016-02-28","2","2018-09-16","2","1","2018-12-05","1","2018","44","44","49","Mexico","70","5","22.1"
"11058","11668","1","Guerreros Unidos","United Warriors","Guerreros Unidos","3298","","","","Los Rojos","The Reds","Los Rojos","3299","","","","2012-09-08","1","2014-05-31","5","0","","","2014","164","164","166","Mexico","70","5","22.1"
"11058","11668","1","Guerreros Unidos","United Warriors","Guerreros Unidos","3298","","","","Los Rojos","The Reds","Los Rojos","3299","","","","2012-09-08","1","2014-05-31","5","1","2015-12-20","3","2015","72","72","103","Mexico","70","5","22.1"
"11072","11682","2","Opponents of Morsi","Opponents of Mohamed Morsi","n/a","3307","","","","Supporters of Morsi","Supporters of Mohamed Morsi","n/a","3306","","","","2012-11-25","1","2013-06-30","1","1","2013-12-30","1","2013","119","119","123","Egypt","651","2","22.1"
"11094","11704","1","Los Zetas","The Zetas","Los Zetas","1088","","","","Los Zetas - Velazquez Caballero faction","The Zetas - Velazquez Caballero faction","Los Zetas - Velazquez Caballero faction","3323","","","","2012-06-11","1","2012-08-09","1","1","2012-09-17","3","2012","77","77","131","Mexico","70","5","22.1"
"11125","11735","3","Birom","Birom","Birom","589","","","","Fulani, Hausa","Fulani, Hausa","Fulani, Hausa","3800","608, 607","","","2001-12-30","1","2010-01-19","1","1","2010-01-20","2","2010","333","333","400","Nigeria","475","4","22.1"
"11191","11801","3","Christians (CAR)","Christians (CAR)","Christians (CAR)","3555","","","","Muslims (CAR)","Muslims (CAR)","Muslims (CAR)","3556","","","","2007-03-14","1","2013-12-20","2","0","","","2013","47","47","47","Central African Republic","482","4","22.1"
"11191","11801","3","Christians (CAR)","Christians (CAR)","Christians (CAR)","3555","","","","Muslims (CAR)","Muslims (CAR)","Muslims (CAR)","3556","","","","2007-03-14","1","2013-12-20","2","0","","","2014","516","503","574","Central African Republic","482","4","22.1"
"11191","11801","3","Christians (CAR)","Christians (CAR)","Christians (CAR)","3555","","","","Muslims (CAR)","Muslims (CAR)","Muslims (CAR)","3556","","","","2007-03-14","1","2013-12-20","2","1","2015-12-01","1","2015","110","110","110","Central African Republic","482","4","22.1"
"11200","11810","3","Amothnhom Dinka","Amothnhom Dinka","Amothnhom Dinka","3568","","","","Panyon Dinka","Panyon Dinka","Panyon Dinka","3569","","","","2012-11-06","1","2013-01-18","1","1","2013-01-18","1","2013","25","25","25","South Sudan","626","4","22.1"
"11211","11821","3","Al-Zayadia","Al-Zayadia","Al-Zayadia","3579","","","","Berti","Berti","Berti","3580","","","","2012-08-16","1","2015-03-22","2","1","2015-07-05","1","2015","127","127","127","Sudan","625","4","22.1"
"11313","11942","1","FLC","Front for the Liberation of the Congo","Front de Libération du Congo","3953","","","","Mayi Mayi","Mayi Mayi","Maï Maï","648","","","","2001-04-25","1","2001-06-24","1","1","2001-06-24","1","2001","27","27","27","DR Congo (Zaire)","490","4","22.1"
"11318","11947","1","CPI-ML-VM","Communist Party of India-Marxist-Leninist-Vinod Mishra","Communist Party of India-Marxist-Leninist-Vinod Mishra","3955","","","","PWG","People’s War Group","n/a","193","","","","2000-10-01","1","2000-12-28","5","1","2000-12-28","5","2000","27","27","29","India","750","3","22.1"
"11328","11957","1","Ansar Dine","Defenders of the Faith","Ansar Dine","1157","","","","CMA","Coordination of Azawad Movements","Coordination des Mouvements de l’Azawad","1158","","","","2012-04-02","1","2015-12-25","1","1","2015-12-25","1","2015","42","42","42","Mali","432","4","22.1"
"11330","11959","1","Ganda Iso","Ganda Iso","Ganda Iso","3157","","","","CMA","Coordination of Azawad Movements","Coordination des Mouvements de l’Azawad","1158","","","","2012-03-15","1","2012-03-25","1","1","2012-03-25","1","2012","31","31","35","Mali","432","4","22.1"
"11361","12004","3","Tripura Non-Tribal Communities","Tripura Non-Tribal Communities","Tripura Non-Tribal Communities","3963","","","","Tripura Tribal Communities","Tripura Tribal Communities","Tripura Tribal Communities","3404","","","","1999-02-04","2","2000-05-20","1","1","2000-11-19","1","2000","85","85","86","India","750","3","22.1"
"11427","12070","1","NURTW-Auxiliary","National Union of Road Transport Workers-Auxiliary faction","National Union of Road Transport Workers-Auxiliary faction","3981","","","","NURTW-Tokyo","National Union of Road Transport Workers-Tokyo faction","National Union of Road Transport Workers-Tokyo faction","3332","","","","2011-05-30","1","2011-06-04","1","1","2011-06-04","1","2011","27","27","31","Nigeria","475","4","22.1"
"11446","12090","1","BNLF","Bru National Liberation Front","Bru National Liberation Front","3968","","","","NLFT","National Liberation Front of Tripura","n/a","307","","","","2000-06-19","2","2000-08-07","2","1","2000-09-03","1","2000","74","74","175","Bangladesh","771","3","22.1"
"11480","12132","1","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","People Committed to Propagating the Prophet's Teachings and Jihad","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","1051","","","","Yan Gora","Yan Gora","Yan Gora","4000","","","","2013-07-25","1","2013-08-25","1","0","","","2013","92","92","131","Nigeria","475","4","22.1"
"11480","12132","1","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","People Committed to Propagating the Prophet's Teachings and Jihad","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","1051","","","","Yan Gora","Yan Gora","Yan Gora","4000","","","","2013-07-25","1","2013-08-25","1","0","","","2014","493","493","512","Nigeria","475","4","22.1"
"11480","12132","1","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","People Committed to Propagating the Prophet's Teachings and Jihad","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","1051","","","","Yan Gora","Yan Gora","Yan Gora","4000","","","","2013-07-25","1","2013-08-25","1","1","2015-02-17","1","2015","39","39","39","Nigeria","475","4","22.1"
"11480","12132","1","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","People Committed to Propagating the Prophet's Teachings and Jihad","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","1051","","","","Yan Gora","Yan Gora","Yan Gora","4000","","","","2013-07-25","1","2017-05-12","1","1","2017-10-12","1","2017","94","94","97","Nigeria","475","4","22.1"
"11484","12136","3","Muslims (Sri Lanka)","Muslims (Sri Lanka)","Muslims (Sri Lanka)","4004","","","","Tamil","Tamil","Tamil","2297","","","","1989-04-12","2","1989-05-25","3","1","1989-05-25","3","1989","25","25","25","Sri Lanka","780","3","22.1"
"11500","12152","3","Atakar","Atakar","Atakar","4022","","","","Fulani","Fulani","Fulani","607","","","","2013-03-19","1","2013-03-21","1","1","2013-09-02","1","2013","77","77","78","Nigeria","475","4","22.1"
"11502","12154","3","Hausa","Hausa","Hausa","608","","","","Jukun","Jukun","Jukun","950","","","","2013-02-23","2","2013-02-23","2","1","2013-05-03","1","2013","70","70","70","Nigeria","475","4","22.1"
"11523","12175","3","Assamese","Assamese","Assamese","2922","","","","Bihari","Bihari","Bihari","4044","","","","2003-11-15","1","2003-11-22","1","1","2003-11-24","1","2003","38","38","41","India","750","3","22.1"
"11632","12284","3","Agatu","Agatu","Agatu","4120","","","","Tiv","Tiv","Tiv","1032","","","","2013-06-04","1","2013-06-04","1","1","2013-06-13","1","2013","42","42","43","Nigeria","475","4","22.1"
"11649","12306","1","M23","March 23 Movement","Mouvement du 23-Mars","1160","","","","M23-R","March 23 Movement - Runiga faction","Mouvement du 23-Mars - Runiga faction","4130","","","","2013-02-24","1","2013-03-10","2","1","2013-03-16","1","2013","41","36","412","DR Congo (Zaire)","490","4","22.1"
"11665","12328","1","APCLS","Alliance of the People for a Free and Sovereign Congo","Alliance des patriotes pour un Congo libre et souverain","1200","","","","NDC","Ndumba Defense of Congo","Nduma Défense du Congo","3037","","","","2011-06-09","1","2013-05-31","3","1","2013-10-11","1","2013","66","66","177","DR Congo (Zaire)","490","4","22.1"
"11671","12337","1","Hezbollah","Party of God","Hezbollah","366","","","","Jabhat Fateh al-Sham","Front for the Conquest of the Levant","Jabhat Fateh al-Sham","1170","","","","2013-06-02","2","2013-12-21","1","0","","","2013","37","37","51","Lebanon","660","2","22.1"
"11671","12337","1","Hezbollah","Party of God","Hezbollah","366","","","","Jabhat Fateh al-Sham","Front for the Conquest of the Levant","Jabhat Fateh al-Sham","1170","","","","2013-06-02","2","2013-12-21","1","0","","","2014","46","46","53","Lebanon","660","2","22.1"
"11671","12337","1","Hezbollah","Party of God","Hezbollah","366","","","","Jabhat Fateh al-Sham","Front for the Conquest of the Levant","Jabhat Fateh al-Sham","1170","","","","2013-06-02","2","2013-12-21","1","1","2015-12-09","1","2015","46","11","46","Lebanon","660","2","22.1"
"11675","12341","3","Agatu","Agatu","Agatu","4120","","","","Fulani","Fulani","Fulani","607","","","","2013-04-20","1","2013-05-12","1","1","2013-11-09","1","2013","136","136","168","Nigeria","475","4","22.1"
"11675","12341","3","Agatu","Agatu","Agatu","4120","","","","Fulani","Fulani","Fulani","607","","","","2013-04-20","1","2015-03-15","1","0","","","2015","168","117","190","Nigeria","475","4","22.1"
"11675","12341","3","Agatu","Agatu","Agatu","4120","","","","Fulani","Fulani","Fulani","607","","","","2013-04-20","1","2015-03-15","1","1","2016-03-10","1","2016","154","154","372","Nigeria","475","4","22.1"
"11680","12346","1","Ghuraba al-Sham, Jabhat Fateh al-Sham","Front for the Conquest of the Levant, Strangers of the Levant","Jabhat Fateh al-Sham, Jabhat Ghurabā’ ash-Shām","4168","1170, 4167","","","PYD","Democratic Union Party","Partiya Yekîtiya Demokrat","4163","","","","2012-11-19","1","2012-11-20","2","1","2012-12-13","1","2012","56","56","83","Syria","652","2","22.1"
"11694","12362","1","Brigades of Aisha","Brigades of Aisha","Aisha Umm-al Mouemeneen","4183","","","","Hezbollah","Party of God","Hezbollah","366","","","","2013-08-15","1","2013-08-15","1","1","2013-08-15","1","2013","26","21","27","Lebanon","660","2","22.1"
"11704","12378","1","anti-Balaka","anti-Balaka","anti-Balaka","4201","","","","FPRC","Popular Front for the Rebirth of the Central African Republic","Front populaire pour la renaissance de centrafrique","4007","","","","2013-09-16","1","2013-10-01","1","0","","","2013","242","242","334","Central African Republic","482","4","22.1"
"11704","12378","1","anti-Balaka","anti-Balaka","anti-Balaka","4201","","","","FPRC","Popular Front for the Rebirth of the Central African Republic","Front populaire pour la renaissance de centrafrique","4007","","","","2013-09-16","1","2013-10-01","1","1","2014-10-07","1","2014","495","454","614","Central African Republic","482","4","22.1"
"11704","12378","1","anti-Balaka","anti-Balaka","anti-Balaka","4201","","","","FPRC","Popular Front for the Rebirth of the Central African Republic","Front populaire pour la renaissance de centrafrique","4007","","","","2013-09-16","1","2017-07-24","1","0","","","2017","54","54","56","Central African Republic","482","4","22.1"
"11704","12378","1","anti-Balaka","anti-Balaka","anti-Balaka","4201","","","","FPRC","Popular Front for the Rebirth of the Central African Republic","Front populaire pour la renaissance de centrafrique","4007","","","","2013-09-16","1","2017-07-24","1","1","2018-08-25","1","2018","28","28","28","Central African Republic","482","4","22.1"
"11708","12384","3","Beni Hussein","Beni Hussein","Beni Hussein","1945","","","","Rizeigat Abbala","Rizeigat Abbala","Rizeigat Abbala","676","","","","2013-01-09","1","2013-01-09","1","0","","","2013","311","255","894","Sudan","625","4","22.1"
"11708","12384","3","Beni Hussein","Beni Hussein","Beni Hussein","1945","","","","Rizeigat Abbala","Rizeigat Abbala","Rizeigat Abbala","676","","","","2013-01-09","1","2013-01-09","1","1","2014-08-28","2","2014","76","76","76","Sudan","625","4","22.1"
"11709","12385","3","Awlad Heiban clan (Misseriya)","Awlad Heiban clan (Misseriya)","n/a","4203","","","","Awlad Metanin clan (Misseriya), Awlad Serur clan (Misseriya)","Awlad Metanin clan (Misseriya), Awlad Serur clan (Misseriya)","Awlad Metanin clan (Misseriya), Awlad Serur clan (Misseriya)","4532","4204, 4531","","","2013-01-06","1","2013-01-06","1","1","2013-01-06","1","2013","80","80","80","Sudan","625","4","22.1"
"11711","12387","3","Misseriya","Misseriya","Misseriya","1025","","","","Nuer","Nuer","Nuer","660","","","","2013-02-19","1","2018-02-17","2","1","2018-05-11","1","2018","39","39","39","South Sudan, Sudan","625, 626","4","22.1"
"11712","12388","3","Beni Halba Baggara","Beni Halba Baggara","Beni Halba Baggara","995","","","","Gimir","Gimir","Gimir","1923","","","","2013-03-01","1","2013-05-03","1","1","2013-06-24","1","2013","177","177","235","Sudan","625","4","22.1"
"11715","12393","1","Ansaar ul-Islam","Supporters of Islam","Ansaar ul-Islam","398","","","","TTP","Taleban Movement of Pakistan","Tehrik-i-Taliban Pakistan","356","","","","2013-01-28","2","2013-01-28","2","1","2013-03-19","1","2013","211","211","211","Pakistan","770","3","22.1"
"11721","12400","3","Misseriya","Misseriya","Misseriya","1025","","","","Salamat Baggara","Salamat Baggara","Salamat Baggara","994","","","","2013-04-11","1","2013-04-11","1","0","","","2013","456","311","751","Sudan","625","4","22.1"
"11721","12400","3","Misseriya","Misseriya","Misseriya","1025","","","","Salamat Baggara","Salamat Baggara","Salamat Baggara","994","","","","2013-04-11","1","2013-04-11","1","1","2014-06-21","1","2014","57","57","57","Sudan","625","4","22.1"
"11721","12400","3","Misseriya","Misseriya","Misseriya","1025","","","","Salamat Baggara","Salamat Baggara","Salamat Baggara","994","","","","2013-04-11","1","2017-05-22","2","1","2017-06-12","1","2017","32","32","32","Sudan","625","4","22.1"
"11729","12410","3","Hamar","Hamar","Hamar","1080","","","","Ma'aliyah","Ma'aliyah","Ma'aliyah","641","","","","2013-12-05","1","2013-12-05","1","0","","","2013","38","38","38","Sudan","625","4","22.1"
"11729","12410","3","Hamar","Hamar","Hamar","1080","","","","Ma'aliyah","Ma'aliyah","Ma'aliyah","641","","","","2013-12-05","1","2013-12-05","1","1","2014-07-01","2","2014","52","52","56","Sudan","625","4","22.1"
"11755","12441","3","Eggon","Eggon","Eggon","1172","","","","Fulani","Fulani","Fulani","607","","","","2013-01-10","1","2014-08-24","1","1","2014-11-23","2","2014","202","202","362","Nigeria","475","4","22.1"
"11777","12464","3","Kuteb","Kuteb","Kuteb","1487","","","","Tiv","Tiv","Tiv","1032","","","","2013-04-09","1","2015-05-03","1","1","2015-05-03","1","2015","64","64","64","Nigeria","475","4","22.1"
"11780","12467","3","Ikpanya (Ibibio)","Ikpanya (Ibibio)","Ikpanya (Ibibio)","4290","","","","Efik","Efik","Efik","941","","","","2012-05-31","3","2012-05-31","3","1","2012-05-31","3","2012","41","41","41","Nigeria","475","4","22.1"
"11859","12573","3","Awlad Suleiman","Awlad Suleiman","Awlad Suleiman","4371","","","","Qadhadhfa","Qadhadhfa","n/a","4370","","","","2013-01-02","1","2016-12-25","2","1","2016-12-25","2","2016","30","30","33","Libya","620","4","22.1"
"11863","12589","1","MAA","Arab Movement of Azawad","Mouvement Arabe de l’Azawad","4380","","","","CMA","Coordination of Azawad Movements","Coordination des Mouvements de l’Azawad","1158","","","","2013-02-23","1","2013-08-16","1","1","2013-08-16","1","2013","28","28","28","Mali","432","4","22.1"
