Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Uganda,UGA,17354395,23650159,34558700,35694519,36911530,38225447,39649173,41166588,42729032,44269587,45741000,47123533
"Population, total",SP.POP.TOTL,Ukraine,UKR,51891400,49176500,45593342,45489648,45272155,45154036,45004673,44831135,44622518,44386203,44132049,43814581
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,1828437,3134067,9141598,9197908,9214182,9262896,9360975,9487206,9630966,9770526,9890400,9991083
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57247586,58892514,63700215,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67081000,67326569
"Population, total",SP.POP.TOTL,United States,USA,249623000,282162411,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331501080,331893745
"Population, total",SP.POP.TOTL,Uruguay,URY,3109598,3319734,3378975,3389436,3400439,3412013,3424139,3436645,3449290,3461731,3473727,3485152
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,20510000,24650400,29774500,30243200,30757700,31298900,31847900,32388600,32956100,33580350,34232050,34915100
"Population, total",SP.POP.TOTL,Vanuatu,VUT,146575,184964,249505,256637,263888,271128,278326,285499,292675,299882,307150,314464
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,19632665,24192449,29360827,29781046,30042973,30081827,29851249,29402480,28887117,28515829,28435943,28704947
"Population, total",SP.POP.TOTL,Vietnam,VNM,67988855,79910411,89801926,90752593,91713850,92677082,93640435,94600643,95545959,96462108,97338583,98168829
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,103963,108642,108188,108041,107882,107712,107516,107281,107001,106669,106290,105870
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,1978248,2922153,3979998,4076708,4173398,4270092,4367088,4454805,4569087,4685306,4803269,4922749
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,11709987,17409071,24473176,25147112,25823488,26497881,27168210,27834811,28498683,29161922,29825968,30490639
"Population, total",SP.POP.TOTL,Zambia,ZMB,8036849,10415942,14465148,14926551,15399793,15879370,16363449,16853608,17351714,17861034,18383956,18920657
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,10432409,11881482,13115149,13350378,13586710,13814642,14030338,14236599,14438812,14645473,14862927,15092171
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,304648010,398113044,547482863,562601578,578075373,593871847,609978946,626392880,643090131,660046272,677243299,694665117
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,204803865,267214544,370243017,380437896,390882979,401586651,412551299,423769930,435229381,446911598,458803476,470898870
"Population, total",SP.POP.TOTL,Arab World,ARB,222653371,282344141,371437642,379696477,387899835,396028301,404042892,411942825,419851989,427870273,436080728,444517783
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,6009262,6513486,7072640,7123315,7173443,7222197,7269385,7314956,7358929,7401389,7442291,7481631
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,110743128,108447824,103935318,103713726,103496179,103257886,102994278,102740078,102538451,102398494,102172351,101669618
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,2028993568,2472852816,2994346938,3037084158,3079685581,3122156833,3164439749,3206485623,3248413593,3290291029,3332103561,3373866849
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,1822134188,2047640091,2240312711,2257904491,2275075985,2291503725,2307707227,2324120551,2338485387,2351127942,2361517682,2368622859
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,1605202723,1816474904,1997902548,2014796921,2031203532,2046847689,2062250022,2077988679,2091698238,2103723076,2114009483,2122086315
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,1584871821,1793498345,1973056377,1989821912,2006100237,2021618425,2036897092,2052513823,2066103849,2078012370,2088186305,2096155040
"Population, total",SP.POP.TOTL,Euro area,EMU,311262608,321310789,336159199,337302111,338462234,339488382,340481755,341217243,341979171,342283354,342708355,342566541
