Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2016-0124-USA,2016,0124,,Natural,Hydrological,Flood,Flash flood,,,United States of America (the),USA,Northern America,Americas,"Fayette, Grimes, Harris, Parker counties, Houston districts (Texas province)",Torrential rrains,Storm,,,,Yes,,,Km2,,,,,2016,4,16,2016,4,19,9,,21000,,21000,,,1000000,1129006,2000000,2258013,"88,57345288",2,,31274;31292;31300;31312;31383,"Fayette, Grimes, Harris, Houston, Parker (Adm2). "
2016-0183-USA,2016,0183,FL-2016-000056,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,"Texas, Oklahoma, Arkansas, Kansas, Nebraska provinces",Heavy rain,Storm,,,,Yes,,,Km2,30.857,-95.537,,,2016,5,27,2016,6,2,15,,,,,,,200000,225801,300000,338702,"88,57345288",1,3217;3230;3241;3250;3257,,"Arkansas, Kansas, Nebraska, Oklahoma, Texas (Adm1). "
2016-0181-USA,2016,0181,,Natural,Meteorological,Storm,Convective storm,Hail,,United States of America (the),USA,Northern America,Americas,"Houston district (Texas province), Brenham city (Washington district, Texas province); Montana, Kansas, Missouri, Colorado",,Flood,,,,,,,Kph,,,,,2016,5,21,2016,5,28,9,12,,,12,,,800000,903205,1100000,1241907,"88,57345288",1;2,3219;3230;3239;3240,31312;31438,"Colorado, Kansas, Missouri, Montana (Adm1). Houston, Washington (Adm2). "
2016-0085-USA,2016,0085,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,"California, Lousiana, Texas, Arkansas, Tennessee, Mississippi, Alabama, Oklahoma, Kentucky, Ohio provinces",,Flood,,,,Yes,,,Kph,,,,,2016,3,4,2016,3,12,7,,,,,,,560000,632244,1600000,1806410,"88,57345288",1,3214;3217;3218;3231;3232;3238;3249;3250;3256;3257,,"Alabama, Arkansas, California, Kentucky, Louisiana, Mississippi, Ohio, Oklahoma, Tennessee, Texas (Adm1). "
2016-0355-BHS,2016,0355,TC-2016-000106,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Matthew',Bahamas (the),BHS,Caribbean,Americas,"New Providence, Nassau",,Flood,,Yes,,,,,Kph,,,,,2016,9,28,2016,10,10,,,,,,,,,,600000,677404,"88,57345288",2,,5747,Administrative unit not available (Adm2). 
2016-0342-CHN,2016,0342,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Ferdie (Meranti),China,CHN,Eastern Asia,Asia,Fujian Sheng province,,Flood,,,,,,,Kph,,,,,2016,9,15,2016,9,15,,,205500,,205500,,,101000,114030,2300000,2596715,"88,57345288",1,901,,Fujian Sheng (Adm1). 
2016-0433-CRI,2016,0433,TC-2016-000125,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Otto,Costa Rica,CRI,Central America,Americas,"Upala, Bagaces, Osa, Golfito, Corredones",,Flood,,Yes,,Yes,,175,Kph,,,,,2016,11,23,2016,11,25,9,,50000,,50000,,,,,,,"88,57345288",2,,14483;14494;14522;14526;14528,"Bagaces, Corredores, Golfito, Osa, Upala (Adm2). "
2016-0359-EGY,2016,0359,FL-2016-000114,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Egypt,EGY,Northern Africa,Africa,"South Sinai, Red Sea, Ismailia, Beni Suef, Qena, Assiut, Suhag provinces",,Flood,,Yes,,,,,Kph,,,,,2016,10,27,2016,10,29,26,72,32500,,32572,,,,,25000,28225,"88,57345288",1,61511;61514;61521;61531;61532;61534;61536,,"Assiut, Beni Suef, Ismailia, Qena, Red Sea, South Sinai, Suhag (Adm1). "
2016-9435-BOL,2016,9435,,Natural,Climatological,Drought,Drought,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Oruro, Cochabamba, Beni provinces",,Water shortage,,,,Yes,,,Km2,,,,,2016,3,,2016,12,,,,665000,,665000,,,,,450000,508053,"88,57345288",1,40443;40445;40447,,"Beni, Cochabamba, Oruro (Adm1). "
2016-9065-SSD,2016,9065,,Natural,Climatological,Drought,Drought,,,South Sudan,SSD,Northern Africa,Africa,"Western Bahr El Ghazal, Northern Bahr El Ghazal, Warab, Unity, Upper Nile, Jonglei, El Buheyrat, Western Equatoria, Central Equatoria, Eastern Equatoria provinces",,Famine,,,,,,,Km2,,,,,2016,2,,2016,11,,,,3600000,,3600000,,,,,,,"88,57345288",1,2746;2747;2748;2750;2751;2754;2765;2766;2768;37021,,"Central Equatoria, Eastern Equatoria, El Buheyrat, Jonglei, Northern Bahr El Ghazal, Unity, Upper Nile, Warab, Western Bahr El Ghazal, Western Equatoria (Adm1). "
2016-0010-USA,2016,0010,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,Storm Jonas (Snowzilla),United States of America (the),USA,Northern America,Americas,"Washington D.C. (District of Columbia district, District of Columbia province), New York, New Jersey, Pennsylvania, Maryland, Virginia, Tennessee, Kentucky, Delaware, West Virginia, Georgia, North Carolina provinces ",,Snow/ice,,,,Yes,,,Kph,,,,,2016,1,23,2016,1,26,50,12,85000000,,85000012,,,240000,270962,550000,620954,"88,57345288",1,3221;3222;3224;3231;3234;3244;3246;3247;3252;3256;3260;3262,,"Delaware, District of Columbia, Georgia, Kentucky, Maryland, New Jersey, New York, North Carolina, Pennsylvania, Tennessee, Virginia, West Virginia (Adm1). "
2016-0051-USA,2016,0051,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Alabama, Mississippi, Virginia, Connecticut, Florida, Georgia, Louisiana, Massachusetts, Maryland, North Carolina, New Jersey, New York, Pennsylvania, South Carolina, Texas ",,Lightening,,,,Yes,,,Kph,,,,,2016,2,22,2016,2,25,10,12,,,12,,,,,1200000,1354808,"88,57345288",1,3214;3220;3223;3232;3234;3235;3238;3244;3246;3247;3252;3254;3257;3260,,"Alabama, Connecticut, Florida, Louisiana, Maryland, Massachusetts, Mississippi, New Jersey, New York, North Carolina, Pennsylvania, South Carolina, Texas, Virginia (Adm1). "
2016-0200-TUR,2016,0200,,Technological,Technological,Transport accident,Road,,,Turkey,TUR,Western Asia,Asia,On the way to Karatepe,,,,,,,,,,,,,,2016,6,5,2016,6,5,14,24,,,24,,,,,,,"88,57345288",,,,
2016-0024-TUR,2016,0024,,Technological,Technological,Transport accident,Water,,Migrants,Turkey,TUR,Western Asia,Asia,,,,,,,,,,,,,,,2016,1,21,2016,1,21,32,,28,,28,,,,,,,"88,57345288",,,,
2016-0063-TUR,2016,0063,,Technological,Technological,Transport accident,Water,,Migrants,Turkey,TUR,Western Asia,Asia,Edremit ,,,,,,,,,,,,,,2016,2,8,2016,2,8,23,,,,,,,,,,,"88,57345288",,,,
2016-0071-TUR,2016,0071,,Technological,Technological,Transport accident,Water,,Migrants,Turkey,TUR,Western Asia,Asia,"Didim town (Yenihisar district, Aydin province)",,,,,,,,,,,,,,2016,3,6,2016,3,6,18,,15,,15,,,,,,,"88,57345288",2,,27578,Yenihisar (Adm2). 
2016-0256-TWN,2016,0256,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Butchoy (Nepartak),Taiwan (Province of China),TWN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,2016,7,9,2016,7,9,3,300,,,300,,,,,,,"88,57345288",1,925,,Taiwan Sheng (Adm1). 
2016-0023-TWN,2016,0023,,Natural,Meteorological,Extreme temperature ,Cold wave,,,Taiwan (Province of China),TWN,Eastern Asia,Asia,"Taipei, Taoyuan, Kaohsiung, Yangmingshan, the Matsu Islands, Kinmen, Miaoli County ",,,,,,,,-1,°C,,,,,2016,1,20,2016,1,26,85,,,,,,,,,,,"88,57345288",1,925,,Taiwan Sheng (Adm1). 
2016-0261-TWN,2016,0261,,Technological,Technological,Transport accident,Road,,,Taiwan (Province of China),TWN,Eastern Asia,Asia,Taïpei,,,,,,,,,,,,,,2016,7,19,2016,7,19,26,,,,,,,,,,,"88,57345288",,,,
2016-0060-TZA,2016,0060,,Natural,Hydrological,Flood,Flash flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Chemichemi, Chumbi, Ikwiriri, Kiongoloni, Kipugira, Maparoni, Mgomba, Mkongo, Msala, Mtunda, Mwaseni, Muhoro, Ngorongo, Umwe, Utete wards (Rufiji district, Pwani province)",,,,,,,,,Km2,,,,,2016,2,10,2016,2,15,,,53446,,53446,,,,,,,"88,57345288",2,,48471,Rufiji (Adm2). 
2016-0028-TZA,2016,0028,FL-2016-000011,Natural,Hydrological,Flood,,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Dodoma, Mwanza, Rufiji provinces ",Heavy rains,,,,,,,182022,Km2,-4.762,35.505,,,2016,1,17,2016,1,18,3,,58896,,58896,,,,,,,"88,57345288",1;2,48359;115006,48471,"Dodoma, Mwanza (Adm1). Rufiji (Adm2). "
2016-0244-TZA,2016,0244,,Natural,Hydrological,Flood,,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Kilosa, Kilombero, Malinyi (Morogoro province)",Reammnants of cyclone Fantala,,,,,,,84215,Km2,-6.894,36,,,2016,4,22,2016,4,24,13,,14000,13933,27933,,,,,,,"88,57345288",2,,48443;115114,"Kilombero, Kilosa (Adm2). "
2016-0130-UGA,2016,0130,,Natural,Hydrological,Flood,Riverine flood,,,Uganda,UGA,Eastern Africa,Africa,"Kyebando, Bwaise, Mulago, Kalerwe suburbs (Kawempe district, Kampala province), Kamwokya suburb (Central Kampala district, Kampala province), Kanamba, Kabaka parishes (Karusandara sub-county, Busongora district, Kasese province)",Heavy rains,,,,,,,,Km2,,,,Mubuka river,2016,4,13,2016,4,18,,,10000,,10000,,,,,2700,3048,"88,57345288",2,,42202;42207;42213,"Busongora, Central Kampala, Kawempe (Adm2). "
2016-0148-UGA,2016,0148,,Natural,Hydrological,Landslide,Landslide,,,Uganda,UGA,Eastern Africa,Africa,"Bubukwanga, Bukhonzo, Humya, and Bumadu village in Bundibugyo town council (Bundinbugyo district)",Torrential rains,,,,,,,,,,,,,2016,5,10,2016,5,10,15,,,1000,1000,,,,,,,"88,57345288",2,,28395,Bwamba (Adm2). 
2016-0252-UGA,2016,0252,,Technological,Technological,Transport accident,Road,,,Uganda,UGA,Eastern Africa,Africa,Masaka city,,,,,,,,,,,,,,2016,7,3,2016,7,3,20,,,,,,,,,,,"88,57345288",,,,
2016-0001-UKR,2016,0001,,Natural,Meteorological,Extreme temperature ,Cold wave,,,Ukraine,UKR,Eastern Europe,Europe,"Cherkas'ka, Chernihivs'ka, Chernivets'ka, Dnipropetrovs'ka, Donets'ka, Ivano-frankivs'ka, Kharkivs'ka, Khersons'ka, Khmel'nyts'ka, Kirovohrads'ka, Krym, Kyyivs'ka, L'vivs'ka, Luhans'ka, Mykolayivs'ka, Odes'ka, Poltavs'ka, Rivnens'ka, Sums'ka, Ternopil's'ka, Vinnyts'ka, Volyns'ka, Zakarpats'ka, Zaporiz'ka, Zhytomyrs'ka",,,,,,,,,°C,,,,,2016,1,1,2016,1,12,37,,,,,,,,,,,"88,57345288",1,3148;3149;3150;3151;3152;3153;3154;3155;3156;3157;3158;3159;3160;3161;3162;3163;3164;3165;3166;3167;3168;3169;3170;3171;3172,,"Cherkas'ka, Chernihivs'ka, Chernivets'ka, Dnipropetrovs'ka, Donets'ka, Ivano-frankivs'ka, Kharkivs'ka, Khersons'ka, Khmel'nyts'ka, Kirovohrads'ka, Krym, Kyyivs'ka, L'vivs'ka, Luhans'ka, Mykolayivs'ka, Odes'ka, Poltavs'ka, Rivnens'ka, Sums'ka, Ternopil's'ka, Vinnyts'ka, Volyns'ka, Zakarpats'ka, Zaporiz'ka, Zhytomyrs'ka (Adm1). "
2016-0180-UKR,2016,0180,,Technological,Technological,Miscellaneous accident,Fire,,Elderly house,Ukraine,UKR,Eastern Europe,Europe,Litochki (Kiev region),,,,,,,,,,,,,,2016,5,29,2016,5,29,17,5,,,5,,,,,,,"88,57345288",,,,
2016-0206-USA,2016,0206,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,California province,"Combination of heat, extented drought and gusty winds",,,,,Yes,,,Km2,,,,,2016,6,25,2016,6,26,,,36,855,891,,,,,150000,169351,"88,57345288",1,3218,,California (Adm1). 
2016-0264-USA,2016,0264,,Natural,Climatological,Wildfire,Forest fire,,Sand Fire,United States of America (the),USA,Northern America,Americas,"Los Angeles, San Francisco districts (California province)",Drought,,,,,,,,Km2,,,,,2016,7,24,2016,8,1,2,,420,,420,,,,,50000,56450,"88,57345288",2,,28883;28902,"Los Angeles, San Francisco (Adm2). "
2016-0297-USA,2016,0297,,Natural,Climatological,Wildfire,Forest fire,,Clayton Fire,United States of America (the),USA,Northern America,Americas,"Lower Lake, Clearlake (Lake district, California province)",,,,,,,,,Km2,,,,,2016,8,13,2016,8,16,,,,567,567,,,,,100000,112901,"88,57345288",2,,28881,Lake (Adm2). 
2016-0022-USA,2016,0022,,Technological,Technological,Transport accident,Air,,Helicopter,United States of America (the),USA,Northern America,Americas,Near Oahu coast (Hawai),,,,,,,,,,,,,,2016,1,14,2016,1,14,12,,,,,,,,,,,"88,57345288",,,,
2016-0277-USA,2016,0277,,Technological,Technological,Transport accident,Air,,Ballooning,United States of America (the),USA,Northern America,Americas,Near Lockhart (Texas),,,,,,,,,,,,,,2016,7,30,2016,7,30,16,,,,,,,,,,,"88,57345288",,,,
2016-0013-USA,2016,0013,,Technological,Technological,Industrial accident,Gas leak,,,United States of America (the),USA,Northern America,Americas,Los Angeles (California),,,,,,Yes,,,m3,,,,,2016,1,6,2016,1,6,,,,,,,,,,,,"88,57345288",,,,
2016-0170-USA,2016,0170,,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,"Palestine city (Anderson district, Texas province), Houston district (Texas province)",,,,,,,,,Km2,,,,,2016,4,30,2016,4,30,11,,,,,,,,,,,"88,57345288",2,,31200;31312,"Anderson, Houston (Adm2). "
2016-0292-USA,2016,0292,,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,"Louisiana, Mississippi, Missouri, Illinois, Indiana; Allamakee, Clayton, Fayette, Howard, Winneshiek counties (Iowa)",Heavy rains,,,,,Yes,,19554,Km2,29.988,-91.8,,,2016,8,9,2016,8,16,13,,70000,,70000,,,2500000,2822516,10000000,11290065,"88,57345288",1,3227;3228;3232;3238;3239,,"Illinois, Indiana, Louisiana, Mississippi, Missouri (Adm1). "
2016-0268-VNM,2016,0268,,Natural,Meteorological,Storm,Tropical cyclone,,Storm Mirinae,Viet Nam,VNM,South-Eastern Asia,Asia,"Nam Dinh, Thai Binh and Ninh Binh provinces",,,,,,,,88,Kph,,,,,2016,7,28,2016,7,28,1,5,191745,,191750,,,,,191000,215640,"88,57345288",1,3364;3367;3380,,"Nam Dinh, Ninh Binh, Thai Binh (Adm1). "
2016-0120-YEM,2016,0120,FF-2016-000034,Natural,Hydrological,Flood,Flash flood,,,Yemen,YEM,Western Asia,Asia,"Al Hudaydah, Amran, Hajjah, Sana'a, Hajjah, Al Mahwit, Aden, Marib provinces",Heavy rains,,,,,,,,Km2,,,,,2016,4,13,2016,4,14,20,,29750,,29750,,,,,,,"88,57345288",1,3411;3414;3415;3418;3421;144972;144973,,"Aden, Al Hudaydah, Al Mahwit, Amran, Hajjah, Marib, Sana'a (Adm1). "
2016-0196-YEM,2016,0196,,Natural,Hydrological,Landslide,Landslide,,,Yemen,YEM,Western Asia,Asia,"Al-Lassbah village (Al-Shamayteen mountain region, Taez province)",Heavy rains,,,,,,,,,,,,,2016,5,22,2016,5,23,20,20,,,20,,,,,,,"88,57345288",1,3425,,Taizz (Adm1). 
2016-0036-ZAF,2016,0036,,Natural,Meteorological,Extreme temperature ,Heat wave,,,South Africa,ZAF,Southern Africa,Africa,Ngaka Modiri Molema (North West province),,,,,,,,45,°C,,,,,2016,1,1,2016,1,10,11,20,,,20,,,,,,,"88,57345288",2,,77347,Ngaka Modiri Molema District Municipality (Adm2). 
2016-0210-ZAF,2016,0210,,Technological,Technological,Transport accident,Rail,,,South Africa,ZAF,Southern Africa,Africa,Lamontville (Durban),,,,,,,,,,,,,,2016,6,23,2016,6,23,,121,,,121,,,,,,,"88,57345288",,,,
2016-0305-ZAF,2016,0305,,Natural,Hydrological,Flood,,,,South Africa,ZAF,Southern Africa,Africa,"Western Cape (Cape Town, Phillipi, Khayelitsha), Kwazulu Natal (Durban, Cato Manor, Amanzimtoti, Inanda, Ntuzuma, KwaMashu, uMlazi, Yellow Wood Park, Chatsworth -eThekwini Metropolitan Municipality, Ugu district)",Heavy rains,,,,,,,,Km2,,,,,2016,7,25,2016,8,3,7,,6900,,6900,,,146000,164835,180000,203221,"88,57345288",2,,77317;77329;77363,"City of Cape Town Metropolitan Municipality, eThekwini Metropolitan Municipality, Ugu District Municipality (Adm2). "
2016-0176-COD,2016,0176,,Technological,Technological,Transport accident,Road,,,Congo (the Democratic Republic of the),COD,Middle Africa,Africa,Mokambo,,,,,,,,,,,,,,2016,5,20,2016,5,20,37,22,,,22,,,,,,,"88,57345288",,,,
2016-0098-ZMB,2016,0098,,Technological,Technological,Transport accident,Road,,,Zambia,ZMB,Eastern Africa,Africa,Kapiri-Mposhi district (Central province),,,,,,,,,,,,,,2016,4,9,2016,4,9,24,,,,,,,,,,,"88,57345288",,,,
2016-0070-ZWE,2016,0070,,Technological,Technological,Transport accident,Road,,,Zimbabwe,ZWE,Eastern Africa,Africa,"Mashonaland West, Matabeleland South, Midlands, Bulawayo, Harare, Matabeleland North, Mashonaland East provinces",,,,,,,,,,,,,,2016,3,4,2016,3,4,30,36,,,36,,,,,,,"88,57345288",1,3435;3436;3440;3443;3444;69549;69550,,"Bulawayo, Harare, Mashonaland East, Mashonaland West, Matabeleland North, Matabeleland South, Midlands (Adm1). "
2016-0076-SRB,2016,0076,FL-2016-000025,Natural,Hydrological,Flood,Flash flood,,,Serbia,SRB,Southern Europe,Europe,"Pozega town (Administrative unit not available district, Zlatiborski province), Moravicki province",Torrential rains,,,,,Yes,,,Km2,,,,"Bjelica, Zapadna Morava",2016,3,6,2016,3,7,,,7000,,7000,,,,,100000,112901,"88,57345288",1;2,25382,47653,Moravicki (Adm1). Administrative unit not available (Adm2). 
2016-9119-TLS,2016,9119,,Natural,Climatological,Drought,Drought,,,Timor-Leste,TLS,South-Eastern Asia,Asia,"Baucau, Lautem, Viqueque provinces","Lack of rain, El Nino",,,,,,,,Km2,,,,,2016,4,,2016,4,,,,120000,,120000,,,,,,,"88,57345288",1,2959;2964;2969,,"Baucau, Lautem, Viqueque (Adm1). "
2016-0289-SSD,2016,0289,EP-2016-000074,Natural,Biological,Epidemic,Bacterial disease,,Cholera,South Sudan,SSD,Northern Africa,Africa,"Imatong Torit, Pageri (Imatong), Awerial (Eastern Lakes), Juba (Jubek), Terekeka (Terekeda), Duk (Jonglei), Fangak (Western Bieh), Rubkona (Northern Liech), Leer (Southern Liech), Pigi (Eastern Nile)",,,,,,,,,Vaccinated,,,,,2016,1,,2017,1,20,68,3826,,,3826,,,,,,,"88,57345288",1,2748,,Central Equatoria (Adm1). 
2016-0323-AFG,2016,0323,,Technological,Technological,Transport accident,Road,,,Afghanistan,AFG,Southern Asia,Asia,Zabul province,,,,,,,,,,,,,,2016,9,4,2016,9,4,35,20,,,20,,,,,,,"88,57345288",,,,
2016-0309-AFG,2016,0309,,Natural,Hydrological,Flood,,,,Afghanistan,AFG,Southern Asia,Asia,"Yaqubi, Haroonkhel districts (Khost city); Zazai Maidan district",,,,,,,,,Km2,,,,,2016,7,19,2016,7,19,17,,,,,,,,,,,"88,57345288",1,287,,Khost (Adm1). 
2016-0420-ALB,2016,0420,FL-2016-000117,Natural,Hydrological,Flood,,,,Albania,ALB,Southern Europe,Europe,"Vlora, Fier provinces, Klos district (Mat province), Kelcyre district (Permet province), Tirane district (Tirane province)",Heavy rains,,,,,,,16543,Km2,42.254,19.446,,"Fierza, Koman, Vau i Dejes, Ulza, Shkopet, Drini, Mat, Vjosa, Elbasani, Berat, Gjirokastra, Vlora",2016,11,7,2016,11,10,2,,4500,,4500,,,,,,,"88,57345288",1;2,312;340,4013;4038;4123,"Fier, Vlore (Adm1). Kelcyre, Klos, Tirane (Adm2). "
2016-0482-ARM,2016,0482,MS-2016-000070,Natural,Hydrological,Landslide,Landslide,,,Armenia,ARM,Western Asia,Asia,"Karchaghbyur city (Vardanis district, Gegharqunik province), Artik city (Artik district, Shirak province)",Heavy hailstorm and rains,,,,,,,,,,,,,2016,6,24,2016,6,24,,,750,,750,,,,,,,"88,57345288",2,,4905;4924,"Artik, Vardanis (Adm2). "
2016-0515-AUS,2016,0515,,Natural,Biological,Epidemic,Viral disease,,Dengue,Australia,AUS,Australia and New Zealand,Oceania,,,,,,,,,,Vaccinated,,,,,2016,1,1,2016,1,30,,2016,,,2016,,,,,,,"88,57345288",,,,
2016-0428-AUS,2016,0428,,Natural,Hydrological,Flood,,,,Australia,AUS,Australia and New Zealand,Oceania,"Victoria, South Australia provinces",Heay rains,,,,,,,634200,Km2,-33.277,139.898,,,2016,9,10,2016,9,22,1,,280,,280,,,,,25000,28225,"88,57345288",1,474;476,,"South Australia, Victoria (Adm1). "
2016-0460-BDI,2016,0460,,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Burundi,BDI,Eastern Africa,Africa,"Bujumbura Rural, Kabezi District, Cibitoke",,,,,,Yes,,,Vaccinated,,,,,2016,8,3,2016,9,8,1,193,,,193,,,,,,,"88,57345288",,,,
2016-0448-BEN,2016,0448,,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Benin,BEN,Western Africa,Africa,"Cotonou, Savalou, So-Ava, Abomey-Calavi, Dassa, Abomey-Zou, Parakou, Ze",,,,,,,,,Vaccinated,,,,,2016,8,16,2016,9,3,13,678,,,678,,,,,,,"88,57345288",,,,
2016-0346-BGD,2016,0346,,Technological,Technological,Transport accident,Water,,,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,,,,,,2016,9,21,2016,9,21,13,,75,,75,,,,,,,"88,57345288",,,,
2016-0328-BGD,2016,0328,,Technological,Technological,Industrial accident,Fire,,Packaging factory,Bangladesh,BGD,Southern Asia,Asia,Tongi,,,,,,,,,m3,,,,,2016,9,10,2016,9,10,43,70,,,70,,,,,,,"88,57345288",,,,
2016-0518-BRA,2016,0518,,Natural,Biological,Epidemic,Viral disease,,Yellow fever,Brazil,BRA,South America,Americas,"Ribeirão Preto (Jaboticabal, Monte Alto, Ribeirão Preto); Barretos (Cajobi and Severínea); São José do Rio Preto (Pindorama, Potirendaba, Catanduva, Ibira, Adolfo, Catiguá, and São José do Rio Preto) - Sao Paulo; Minas Gerais,; Espirito Santo; Brasilia, Goias, Mato Grosso do Sul; Tocantins; Bahia, Rio Grande do Norte",,,,,,Yes,,,Vaccinated,,,,,2016,12,18,2017,4,1,261,777,,,777,,,,,,,"88,57345288",,,,
2016-0373-CHN,2016,0373,,Natural,Meteorological,Storm,Convective storm,Severe storm,,China,CHN,Eastern Asia,Asia,"Fujian, Jiangxi, Henan, Hubei, Hunan, Sichuan, Guizhou, Yunnan, Hebei, Shanxi, Heilongjiang, Nei Mongol Zizhiqu, Liaoning Sheng provinces",,,,,,,,,Kph,,,,,2016,8,4,2016,8,7,23,,14400,,14400,,,,,23000,25967,"88,57345288",1,901;905;907;908;909;911;912;914;916;917;923;924;929,,"Fujian Sheng, Guizhou Sheng, Hebei Sheng, Heilongjiang Sheng, Henan Sheng, Hubei Sheng, Hunan Sheng, Jiangxi Sheng, Liaoning Sheng, Nei Mongol Zizhiqu, Shanxi Sheng, Sichuan Sheng, Yunnan Sheng (Adm1). "
2016-0480-CHN,2016,0480,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Xinjinag Uygur Zizhiqu province,,,,,,,,7,Richter,39.238,74.047,22:24,,2016,11,25,2016,11,25,1,,37200,,37200,,,,,5500,6210,"88,57345288",1,927,,Xinjiang Uygur Zizhiqu (Adm1). 
2016-0526-CHN,2016,0526,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Near Shihezi district (Xinjiang Uygur Zizhiqu province),,,,,,,,6,Richter,43.823,86.345,13:15,,2016,12,8,2016,12,8,,,9000,120,9120,,,,,135000,152416,"88,57345288",2,,13284,Changji Hui (Adm2). 
2016-0536-CHN,2016,0536,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Shimen (Yunnan - Dali Bai),,,,,,,,5,Richter,26.077,99.539,01:05,,2016,5,18,2016,5,18,2,,,5000,5000,,,,,60000,67740,"88,57345288",2,,13312,Dali Bai (Adm2). 
2016-0363-CHN,2016,0363,TC-2016-000108,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Karen (Sarika),China,CHN,Eastern Asia,Asia,"Hainan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu provinces",,,,,,,,,Kph,,,,,2016,10,16,2016,10,19,,,,,,,,,,890000,1004816,"88,57345288",1,903;904;906,,"Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Hainan Sheng (Adm1). "
2016-0364-CHN,2016,0364,TC-2016-000110,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Lawin (Haima),China,CHN,Eastern Asia,Asia,Guangdong Sheng province,,,,,,,,,Kph,,,,,2016,10,19,2016,10,21,,,12000,,12000,,,,,,,"88,57345288",1,903,,Guangdong Sheng (Adm1). 
2016-0379-CHN,2016,0379,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Dianmu,China,CHN,Eastern Asia,Asia,"Zhanjiang district (Guangdong Sheng province), Hainan Sheng province",,,,,,,,,Kph,,,,,2016,8,18,2016,8,19,,,40000,,40000,,,,,,,"88,57345288",1;2,906,13035,Hainan Sheng (Adm1). Zhanjiang (Adm2). 
2016-0436-CHN,2016,0436,,Technological,Technological,Transport accident,Road,,,China,CHN,Eastern Asia,Asia,Shanxi province,,,,,,,,,,,,,,2016,11,22,2016,11,22,17,,,,,,,,,,,"88,57345288",,,,
2016-0465-CHN,2016,0465,,Technological,Technological,Transport accident,Road,,,China,CHN,Eastern Asia,Asia,Between Ezhou and Wuhan (Hubei province),,,,,,,,,,,,,,2016,12,2,2016,12,2,18,,,,,,,,,,,"88,57345288",,,,
2016-0351-CHN,2016,0351,,Technological,Technological,Industrial accident,Explosion,,Coal mine,China,CHN,Eastern Asia,Asia,Shizuishan (Hui du Ningxia),,,,,,,,,m3,,,,,2016,9,27,2016,9,27,20,,,,,,,,,,,"88,57345288",,,,
2016-0412-CHN,2016,0412,,Technological,Technological,Industrial accident,Explosion,,Coal mine,China,CHN,Eastern Asia,Asia,Laisu (Yongchuan district),,,,,,,,,m3,,,,,2016,10,31,2016,10,31,31,,,,,,,,,,,"88,57345288",,,,
2016-0470-CHN,2016,0470,,Technological,Technological,Industrial accident,Explosion,,Coal mine,China,CHN,Eastern Asia,Asia,Qitaihe (Heilongjiang province),,,,,,,,,m3,,,,,2016,11,29,2016,11,29,21,1,,,1,,,,,,,"88,57345288",,,,
