Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2016-0294-SDN,2016,0294,,Technological,Technological,Transport accident,Road,,,Sudan (the),SDN,Northern Africa,Africa,Between Palandri and Hajira (Kasmir),,,,,,,,,,,,,,2016,8,14,2016,8,14,16,29,,,29,,,,,,,"88,57345288",,,,
2016-0129-SOM,2016,0129,,Natural,Hydrological,Flood,Flash flood,,,Somalia,SOM,Eastern Africa,Africa,"Awdal, Gedo provinces",Heavy rains,,,,,,,,Km2,,,,,2016,4,6,2016,4,11,9,,,,,,,,,,,"88,57345288",1,2688;2694,,"Awdal, Gedo (Adm1). "
2016-9291-SWZ,2016,9291,,Natural,Climatological,Drought,Drought,,,Eswatini,SWZ,Southern Africa,Africa,"Whole country: Hhohho, Lubombo, Manzini, Shiselweni provinces",El Nino,,,Yes,,Yes,,,Km2,,,,,2016,2,,2017,2,,,,492000,,492000,,,,,,,"88,57345288",1,2782;2783;2784;2785,,"Hhohho, Lubombo, Manzini, Shiselweni (Adm1). "
2016-0302-SYC,2016,0302,EP-2016-000057,Natural,Biological,Epidemic,Viral disease,,Dengue,Seychelles,SYC,Eastern Africa,Africa,"English river, Anse Royal, Anse Etoile, Beau Vallon, Point La Rue",,,,,,,,,Vaccinated,,,,,2016,1,,2016,7,12,,253,,,253,,,,,,,"88,57345288",1,61139;61140;61146;61164;61190,,"Anse Etoile, Anse Royale, Beau Vallon, English River, Pointe Larue (Adm1). "
2016-0023-THA,2016,0023,,Natural,Meteorological,Extreme temperature ,Cold wave,,,Thailand,THA,South-Eastern Asia,Asia,"Chai Nat Province, Bangkok, Chiang Rai, Phetchabum",,,,,,,,9,°C,,,,,2016,1,20,2016,1,26,14,,,,,,,,,,,"88,57345288",1,2853;2856;2860;2892,,"Bangkok, Chainat, Chiang Rai, Phetchabun (Adm1). "
2016-0225-THA,2016,0225,,Technological,Technological,Miscellaneous accident,Fire,,Dormitory,Thailand,THA,South-Eastern Asia,Asia,Chiang Rai ,,,,,,,,,,,,,,2016,5,23,2016,5,23,17,5,,,5,,,,,,,"88,57345288",,,,
2016-0251-TJK,2016,0251,,Natural,Geophysical,Earthquake,Ground movement,,,Tajikistan,TJK,Central Asia,Asia,"Rasht region (Garmskiy district, Tadzhikistan Territories province)",,,,,,,,5,Richter,38.883,70.626,,,2016,7,1,2016,7,1,,,155,,155,,,,,,,"88,57345288",2,,37619,Garmskiy (Adm2). 
2016-0004-TON,2016,0004,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Ulla,Tonga,TON,Polynesia,Oceania,"Vava'u, Ha'apai islands (Administrative unit not available)",,,,,,,,150,Kph,,,,,2016,1,2,2016,1,2,,,392,,392,,,,,,,"88,57345288",1,2976,,Administrative unit not available (Adm1). 
2016-0041-TON,2016,0041,TC-2016-000014,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Winston,Tonga,TON,Polynesia,Oceania,Vava’u Isl. ,,,,,,,,,Kph,,,,,2016,2,19,2016,2,19,,,,,,,,,,,,"88,57345288",2,,27407,Administrative unit not available (Adm2). 
2016-0141-TON,2016,0141,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone Zena,Tonga,TON,Polynesia,Oceania,"Eua, Tongatapu, Ha'apai, Tongatapu, 'Eua, Vava'u islands (Administrative unit not available)",,,,,,,,,Kph,,,,,2016,4,7,2016,4,7,,,,,,,,,,,,"88,57345288",1,2976,,Administrative unit not available (Adm1). 
2016-0012-USA,2016,0012,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,"Ventura, Orange, San Diego, Los Angles districts (California province)",Pacific storm systems fueled by El Nino,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2016,1,4,2016,1,8,,,,,,,,65000,73385,125000,141126,"88,57345288",2,,28883;28894;28901;28920,"Los Angeles, Orange, San Diego, Ventura (Adm2). "
2016-0203-USA,2016,0203,,Natural,Meteorological,Storm,Convective storm,,,United States of America (the),USA,Northern America,Americas,"Greenbier district (West Virginia province); Ohio, Indiana, Illinois, Wisconsin, Virginia",Torrential rain,Flood,"Slide (land, mud, snow, rock)",,,Yes,,,Kph,38.945,-80.555,,,2016,6,22,2016,6,24,25,,2000,,2000,,,200000,225801,1000000,1129006,"88,57345288",1;2,3227;3228;3249;3260;3263,31681,"Illinois, Indiana, Ohio, Virginia, Wisconsin (Adm1). Greenbrier (Adm2). "
