,Year,Donor Name,CBPF Name,Paid Amount,Pledged Amount,Total Contributions,Local Curency,Exchange Rate,Paid Amount (Local Currency),Pledged Amount (Local Currency),Total Contributions (Local Currency),Code,Access to electricity (% of population)_x,Access to electricity (% of population)_y,Primary energy consumption per capita (kWh/person),Life expectancy,People using at least basic sanitation services (% of population),Annual CO2 emissions (per capita),"Average Total Years of Schooling for Adult Population (Lee-Lee (2016), Barro-Lee (2018) and UNDP (2018))",GDP per capita,417485-annotations,"Child mortality (Select Gapminder, v10) (2017)",Prevalence of undernourishment (% of population),People using at least basic drinking water services (% of population)
27,2016,United Kingdom,Iraq,50071434.78,0.0,50071434.78,GBP,0.79,39500000.0,0,39500000.0,IRQ,70.0,70.0,66.0,45.0,80.0,97.0,44.0,77.0,142.0,46.0,6.0,75.0
28,2016,United States,Iraq,5000000.0,0.0,5000000.0,USD,1.0,5000000.0,0,5000000.0,IRQ,70.0,70.0,66.0,45.0,80.0,97.0,44.0,77.0,142.0,46.0,6.0,75.0
29,2016,Australia,Myanmar,1101920.11,0.0,1101920.11,AUD,1.36,1499713.27,0,1499713.27,MMR,23.0,23.0,25.0,33.0,43.0,23.0,21.0,36.0,142.0,31.0,48.0,115.0
30,2016,Denmark,Myanmar,1421326.93,0.0,1421326.93,DKK,7.04,10000456.28,0,10000456.28,MMR,23.0,23.0,25.0,33.0,43.0,23.0,21.0,36.0,142.0,31.0,48.0,115.0
31,2016,Sweden,Myanmar,1210960.02,0.0,1210960.02,SEK,8.26,10000107.78,0,10000107.78,MMR,23.0,23.0,25.0,33.0,43.0,23.0,21.0,36.0,142.0,31.0,48.0,115.0
32,2016,Switzerland,Myanmar,493096.65,0.0,493096.65,CHF,1.01,500000.0,0,500000.0,MMR,23.0,23.0,25.0,33.0,43.0,23.0,21.0,36.0,142.0,31.0,48.0,115.0
33,2016,United Kingdom,Myanmar,4133928.57,0.0,4133928.57,GBP,0.71,2950000.0,0,2950000.0,MMR,23.0,23.0,25.0,33.0,43.0,23.0,21.0,36.0,142.0,31.0,48.0,115.0
34,2016,Belgium,Central African Republic,4435023.43,0.0,4435023.43,EUR ,0.9,3973110.0,0,3973110.0,CAF,3.0,3.0,2.0,1.0,6.0,2.0,14.0,1.0,142.0,2.0,1.0,142.0
35,2016,Canada,Central African Republic,390228.67,0.0,390228.67,CAD ,1.3,506517.0,0,506517.0,CAF,3.0,3.0,2.0,1.0,6.0,2.0,14.0,1.0,142.0,2.0,1.0,142.0
36,2016,Denmark,Central African Republic,2869852.2,0.0,2869852.2,DKK ,7.1,20384560.0,0,20384560.0,CAF,3.0,3.0,2.0,1.0,6.0,2.0,14.0,1.0,142.0,2.0,1.0,142.0
37,2016,Germany,Central African Republic,4278900.0,0.0,4278900.0,EUR ,0.93,3968964.0,0,3968964.0,CAF,3.0,3.0,2.0,1.0,6.0,2.0,14.0,1.0,142.0,2.0,1.0,142.0
38,2016,Ireland,Central African Republic,3278970.0,0.0,3278970.0,EUR ,0.91,2990421.0,0,2990421.0,CAF,3.0,3.0,2.0,1.0,6.0,2.0,14.0,1.0,142.0,2.0,1.0,142.0
39,2016,Luxembourg,Central African Republic,279475.0,0.0,279475.0,EUR ,0.88,246497.0,0,246497.0,CAF,3.0,3.0,2.0,1.0,6.0,2.0,14.0,1.0,142.0,2.0,1.0,142.0
40,2016,Netherlands,Central African Republic,4451200.0,0.0,4451200.0,EUR ,0.9,4010531.0,0,4010531.0,CAF,3.0,3.0,2.0,1.0,6.0,2.0,14.0,1.0,142.0,2.0,1.0,142.0
41,2016,Sweden,Central African Republic,4528146.03,0.0,4528146.03,SEK ,8.66,39221227.0,0,39221227.0,CAF,3.0,3.0,2.0,1.0,6.0,2.0,14.0,1.0,142.0,2.0,1.0,142.0
42,2016,Switzerland,Central African Republic,616332.82,0.0,616332.82,CHF ,0.97,597843.0,0,597843.0,CAF,3.0,3.0,2.0,1.0,6.0,2.0,14.0,1.0,142.0,2.0,1.0,142.0
43,2016,United Kingdom,Central African Republic,5246200.0,0.0,5246200.0,GBP ,0.76,4011992.0,0,4011992.0,CAF,3.0,3.0,2.0,1.0,6.0,2.0,14.0,1.0,142.0,2.0,1.0,142.0
44,2016,Belgium,Democratic Republic of Congo,5543779.29,0.0,5543779.29,EUR ,0.9,4966387.0,0,4966387.0,COD,5.0,5.0,3.0,11.0,8.0,1.0,42.0,3.0,142.0,7.0,5.0,141.0
45,2016,Ireland,Democratic Republic of Congo,3278970.0,0.0,3278970.0,EUR ,0.91,2990421.0,0,2990421.0,COD,5.0,5.0,3.0,11.0,8.0,1.0,42.0,3.0,142.0,7.0,5.0,141.0
