gwno,country,year,ongoing,gwarea_tot,gwsum_bestdeaths,gwsum_best_sb,gwshare_confl,gwpop,gwpop_confl,gwpopshare_confl,maxintensity,maxcumulativeintensity,peaceyears,peaceyearshigh,postconflict,pop_affected,area_affected
310,Hungary,2016,0,"85363,27344",0,0,,9660635,0,,,,46,46,0,,
316,Czech Republic,2016,0,"69345,60156",0,0,,9723736,0,,,,23,23,0,,
317,Slovakia,2016,0,"42605,39453",0,0,,5587889,0,,,,23,23,0,,
325,Italy,2016,0,"295433,75",0,0,,55318304,0,,,,46,46,0,,
338,Malta,2016,0,"294,359375",0,0,,"379470,1875",0,,,,46,46,0,,
339,Albania,2016,0,"26038,85352",0,0,,"3471791,75",0,,,,46,46,0,,
340,Serbia,2016,0,"67681,54688",0,0,,"6953534,5",0,,,,10,10,0,,
341,Montenegro,2016,0,"10951,93164",0,0,,"643934,375",0,,,,10,10,0,,
343,Macedonia (Former Yugoslav Republic of),2016,0,"22902,26172",0,0,,"2095761,125",0,,,,14,25,0,,
344,Croatia,2016,0,"51317,07031",0,0,,"4185010,5",0,,,,20,20,0,,
346,Bosnia-Herzegovina,2016,0,"44053,62891",0,0,,"4011142,5",0,,,,20,20,0,,
347,Kosovo,2016,0,"8624,799805",0,0,,"2695773,75",0,,,,8,8,0,,
349,Slovenia,2016,0,"17505,98047",0,0,,"3045301,25",0,,,,24,24,0,,
350,Greece,2016,0,"124644,3828",0,0,,10652010,0,,,,46,46,0,,
352,Cyprus,2016,0,"9137,322266",0,0,,"872045,0625",0,,,,46,46,0,,
355,Bulgaria,2016,0,"99862,23438",0,0,,"6550752,5",0,,,,46,46,0,,
359,Moldova,2016,0,"28715,71484",0,0,,"4460341,5",0,,,,23,25,0,,
360,Rumania,2016,0,"226988,0938",0,0,,21238720,0,,,,26,46,0,,
365,Russia,2016,1,16699143,73,72,"0,001355590997",132567648,14489848,"0,1093015373",1,,,,,"10,93015385","0,1355590969"
366,Estonia,2016,0,"44311,32422",0,0,,"1129135,5",0,,,,25,25,0,,
367,Latvia,2016,0,"57615,96484",0,0,,"2146450,5",0,,,,25,25,0,,
368,Lithuania,2016,0,"59455,85156",0,0,,"3546100,25",0,,,,25,25,0,,
369,Ukraine,2016,1,"580469,75",257,257,"0,03068111464",43066236,"3824965,5","0,08881587535",1,1,,,,"8,881587982","3,06811142"
370,Belraus,2016,0,"195915,6875",0,0,,9572408,0,,,,25,25,0,,
371,Armenia,2016,0,"23230,63672",2,2,,"4049037,25","181417,7031",,,,25,25,0,,
372,Georgia,2016,0,"58678,46875",0,0,,"4799365,5",0,,,,7,22,1,,
373,Azerbaijan,2016,1,"80470,96094",139,139,"0,1663955003",8677094,"1061161,875","0,1222946122",1,1,,,,"12,22946167","16,63954926"
375,Finland,2016,0,"322972,125",0,0,,"5153703,5",0,,,,46,46,0,,
380,Sweden,2016,0,"437214,4375",0,0,,9350947,0,,,,46,46,0,,
385,Norway,2016,0,"309313,5938",0,0,,"4676092,5",0,,,,46,46,0,,
390,Denmark,2016,0,"41109,57813",0,0,,"4547322,5",0,,,,46,46,0,,
395,Iceland,2016,0,"102281,1328",0,0,,"303630,0938",0,,,,46,46,0,,
402,Cape Verde,2016,0,"4045,304688",0,0,,"578816,625",0,,,,41,41,0,,
403,São Tomé and Principe,2016,0,"1147,203125",0,0,,"179793,6406",0,,,,16,16,0,,
404,Guinea-Bissau,2016,0,"26047,17578",0,0,,"1743534,25",0,,,,16,42,0,,
411,Equatorial Guinea,2016,0,"23540,43945",0,0,,"611188,875",0,,,,46,46,0,,
420,Gambia,2016,0,"4188,646484",0,0,,"1460984,625",0,,,,34,46,0,,
432,Mali,2016,1,"1216622,25",254,100,"0,09509216249",18267542,"2326010,25","0,1273302287",1,1,,,,"12,73302269","9,509216309"
433,Senegal,2016,0,"186290,5313",0,0,,14112758,0,,,,4,4,1,,
434,Benin,2016,0,"105375,0156",0,0,,9675645,0,,,,46,46,0,,
435,Mauritania,2016,0,"1019411,563",0,0,,"4027582,5",0,,,,4,37,1,,
436,Niger,2016,1,"1142564,5",510,485,"0,006690737326",18510432,"440172,3438","0,02377969027",1,,,,,"2,377969027","0,6690737605"
437,Cote DIvoire,2016,0,"312615,4688",53,6,,21850594,"1678644,125",,,,4,46,1,,
438,Guinea,2016,0,"229839,6563",0,0,,11082967,0,,,,14,46,0,,
439,Burkina Faso,2016,0,"247247,7969",30,5,,17984956,"1300190,375",,,,28,46,0,,
450,Liberia,2016,0,"89424,92969",0,0,,5928905,0,,,,12,12,0,,
451,Sierra Leone,2016,0,"71071,79688",0,0,,7348171,0,,,,14,14,0,,
452,Ghana,2016,0,"231281,3906",0,0,,26744768,0,,,,32,46,0,,
461,Togo,2016,0,"48985,21094",0,0,,6878687,0,,,,29,46,0,,
471,Cameroon,2016,1,"435477,4375",1299,978,"0,05227046832",20446760,3297575,"0,1612761617",1,1,,,,"16,12761688","5,227046967"
475,Nigeria,2016,1,"886333,0625",2926,1432,"0,2495354116",167581904,60173820,"0,3590711057",2,1,,,,"35,90711212","24,9535408"
481,Gabon,2016,0,"249216,2813",0,0,,"1805896,375",0,,,,46,46,0,,
482,Central African Republic,2016,0,"602891,6875",425,0,,5178359,"1340081,25",,,,2,46,1,,
483,Chad,2016,0,"1124427,375",31,18,,12375026,"200237,6719",,,,0,5,1,,
484,Congo,2016,1,"317275,5313",51,51,"0,02372268401",11603258,7892762,"0,6802194715",1,1,,,,"68,02194977","2,372268438"
490,DRC,2016,0,"2279960,25",921,345,,77703808,"7784256,5",,,,1,1,1,,
500,Uganda,2016,1,"232110,0156",38,7,"0,05727461725",37761100,"3338771,5","0,08841828257",1,1,,,,"8,841828346","5,727461815"
501,Kenya,2016,1,"561173,8125",163,76,"0,08680474758",40912572,"5008702,5","0,1224245355",1,,,,,"12,24245358","8,680475235"
510,Tanzania,2016,0,"914911,4375",0,0,,48313568,0,,,,46,46,0,,
516,Burundi,2016,0,"25025,36328",15,7,,11845221,"6704234,5",,,,0,0,1,,
517,Rwanda,2016,1,"20955,23633",5,5,"0,0858367309",10051867,1186760,"0,1180636361",1,1,,,,"11,80636406","8,583673477"
520,Somalia,2016,1,"625561,5625",1989,1898,"0,3100008667",15930828,9291405,"0,5832342505",2,1,,,,"58,32342529","31,00008583"
522,Djibouti,2016,0,"18036,74414",0,0,,"556002,5625",0,,,,16,39,0,,
530,Ethiopia,2016,1,"1095409,625",553,93,"0,1256850064",90446488,16880172,"0,1866315901",1,1,,,,"18,66315842","12,56850052"
531,Eritrea,2016,0,"115089,3516",0,0,,"5967921,5",0,,,,12,23,0,,
540,Angola,2016,0,"1233403,875",17,13,,21549692,2152048,,,,6,13,1,,
541,Mozambique,2016,1,"773784,125",32,26,"0,0202816762",24829086,"2436520,75","0,09813171625",1,1,,,,"9,813171387","2,028167725"
551,Zambia,2016,0,725444,0,0,,14724558,0,,,,46,46,0,,
552,Zimbabwe,2016,0,"374881,7188",0,0,,16497185,0,,,,36,36,0,,
553,Malawi,2016,0,"102709,3359",0,0,,14778875,0,,,,46,46,0,,
560,South Africa,2016,0,"1190911,375",3,0,,45201720,"481274,9375",,,,27,27,0,,
565,Namibia,2016,0,810064,0,0,,"2101769,75",0,,,,26,26,0,,
570,Lesotho,2016,0,"27298,24219",0,0,,"2289484,5",0,,,,17,46,0,,
571,Botswana,2016,0,"563964,9375",0,0,,"1747182,875",0,,,,46,46,0,,
572,Swaziland,2016,0,"12550,54492",0,0,,"789556,8125",0,,,,46,46,0,,
580,Madagascar,2016,0,"594768,4375",0,0,,24331220,0,,,,44,46,0,,
581,Comoros,2016,0,"1722,97229",0,0,,1084510,0,,,,18,41,0,,
590,Mauritius,2016,0,"2151,093994",0,0,,"1312462,375",0,,,,46,46,0,,
591,Seychelles,2016,0,"379,3218384",0,0,,85133,0,,,,16,16,0,,
600,Morocco,2016,0,655743,0,0,,38427856,0,,,,26,26,0,,
615,Algeria,2016,1,"2285073,5",67,67,"0,0111352792",39121028,4829695,"0,123455219",1,1,,,,"12,34552193","1,113527894"
616,Tunisia,2016,0,"141648,0781",0,0,,11133047,0,,,,35,46,0,,
620,Libya,2016,1,"1720320,75",2246,1733,"0,03019061312",7378629,"782925,6875","0,1061072052",2,1,,,,"10,61072063","3,019061327"
625,Sudan,2016,1,"1842730,125",2052,1309,"0,08900471777",34717228,"4301950,5","0,1239139959",2,1,,,,"12,39139938","8,900471687"
626,South Sudan,2016,1,"599968,625",1200,720,"0,1476453692",8705595,"1676515,25","0,1925790608",1,1,,,,"19,25790596","14,76453686"
630,Iran,2016,0,"1580859,25",10,10,,85968608,"687631,125",,,,4,4,1,,
640,Turkey,2016,1,"767087,3125",4841,2460,"0,1262023896",82151456,15566379,"0,1894839108",2,1,,,,"18,94839096","12,62023926"
645,Iraq,2016,1,"417997,5625",11225,9076,"0,290250957",34246468,18753340,"0,547599256",2,1,,,,"54,75992584","29,02509499"
651,Egypt,2016,1,"994722,8125",304,269,"0,01155534014",87253896,15092960,"0,1729774922",1,1,,,,"17,29774857","1,155534029"
652,Syria,2016,1,"161705,7188",44168,41346,"0,8048635721",20554748,19276194,"0,937797606",2,1,,,,"93,77976227","80,48635864"
660,Lebanon,2016,0,"9910,695313",1544,1422,,5027343,"3369910,75",,,,0,25,1,,
663,Jordan,2016,1,"78487,94531",20,20,"0,0552325435",6649427,"291809,4688","0,04388490319",1,,,,,"4,3884902","5,523254395"
666,Israel,2016,0,"23225,67188",120,21,,12443761,6658585,,,,1,1,1,,
670,Saudi Arabia,2016,0,"1890203,5",113,109,,31667062,"553958,6875",,,,36,46,0,,
678,Yemen,2016,1,"443187,7188",3156,2427,"0,2379292697",34013032,18710768,"0,5501058698",2,1,,,,"55,01058578","23,79292679"
690,Kuwait,2016,0,"16087,38574",0,0,,"2970948,5",0,,,,46,46,0,,
692,Bahrain,2016,0,"291,8729858",0,0,,"653410,3125",0,,,,45,45,0,,
694,Qatar,2016,0,"10490,76172",0,0,,"780363,75",0,,,,45,45,0,,
696,United Arab Emirates,2016,0,"64672,64063",0,0,,"3100201,25",0,,,,45,45,0,,
